Dataset,Classifier,Run,Fold,Accuracy,Precision,Recall,F1,Kappa,AUC,NPofB20
avro_dataset.csv,RANDOM_FOREST,9,3,99.5342,1.0000,0.8571,0.9231,0.9207,0.9664,1.0000
avro_dataset.csv,RANDOM_FOREST,9,1,99.6894,1.0000,0.9048,0.9500,0.9484,0.9608,0.9524
avro_dataset.csv,RANDOM_FOREST,9,5,99.5342,1.0000,0.8571,0.9231,0.9207,0.9989,1.0000
avro_dataset.csv,RANDOM_FOREST,9,6,98.7578,0.9375,0.6818,0.7895,0.7832,0.9173,0.8636
avro_dataset.csv,RANDOM_FOREST,9,8,98.7558,1.0000,0.6190,0.7647,0.7587,0.9451,0.9048
avro_dataset.csv,RANDOM_FOREST,9,7,99.8447,1.0000,0.9545,0.9767,0.9759,0.9710,0.9545
avro_dataset.csv,RANDOM_FOREST,9,9,99.8445,1.0000,0.9524,0.9756,0.9748,0.9905,1.0000
avro_dataset.csv,NAIVE_BAYES,1,0,98.7578,1.0000,0.6190,0.7647,0.7587,0.9715,0.9524
avro_dataset.csv,NAIVE_BAYES,0,5,98.9130,1.0000,0.6667,0.8000,0.7946,0.8531,0.8095
avro_dataset.csv,NAIVE_BAYES,0,4,99.3789,1.0000,0.8095,0.8947,0.8916,1.0000,1.0000
avro_dataset.csv,NAIVE_BAYES,0,1,98.2919,0.9167,0.5238,0.6667,0.6586,0.9397,0.7619
avro_dataset.csv,NAIVE_BAYES,0,9,98.9114,1.0000,0.6667,0.8000,0.7946,0.9866,0.9524
avro_dataset.csv,NAIVE_BAYES,0,6,99.0683,1.0000,0.7273,0.8421,0.8374,0.9637,0.9545
avro_dataset.csv,NAIVE_BAYES,1,1,98.9130,1.0000,0.6667,0.8000,0.7946,0.9500,0.9524
avro_dataset.csv,NAIVE_BAYES,0,7,98.7578,1.0000,0.6364,0.7778,0.7717,0.9878,0.9545
avro_dataset.csv,NAIVE_BAYES,0,0,98.9130,1.0000,0.6667,0.8000,0.7946,0.8493,0.8095
avro_dataset.csv,NAIVE_BAYES,0,8,98.9114,1.0000,0.6667,0.8000,0.7946,0.9326,0.9048
avro_dataset.csv,NAIVE_BAYES,0,3,99.5342,1.0000,0.8571,0.9231,0.9207,0.9792,0.9524
avro_dataset.csv,NAIVE_BAYES,0,2,99.5342,1.0000,0.8571,0.9231,0.9207,0.9873,0.9524
avro_dataset.csv,NAIVE_BAYES,1,4,99.3789,1.0000,0.8095,0.8947,0.8916,0.9408,0.9048
avro_dataset.csv,NAIVE_BAYES,1,5,99.3789,1.0000,0.8095,0.8947,0.8916,0.9565,0.9048
avro_dataset.csv,NAIVE_BAYES,1,3,98.9130,1.0000,0.6667,0.8000,0.7946,0.9530,0.8571
avro_dataset.csv,NAIVE_BAYES,1,2,99.0683,0.8947,0.8095,0.8500,0.8452,0.9523,0.9048
avro_dataset.csv,NAIVE_BAYES,1,6,98.7578,1.0000,0.6364,0.7778,0.7717,0.9201,0.8636
avro_dataset.csv,NAIVE_BAYES,1,8,98.6003,1.0000,0.5714,0.7273,0.7206,0.8897,0.7619
avro_dataset.csv,NAIVE_BAYES,2,1,98.9130,1.0000,0.6667,0.8000,0.7946,0.9139,0.9048
avro_dataset.csv,NAIVE_BAYES,1,9,99.2224,1.0000,0.7619,0.8649,0.8609,0.9607,0.9048
avro_dataset.csv,NAIVE_BAYES,2,0,98.7578,1.0000,0.6190,0.7647,0.7587,0.9673,0.9048
avro_dataset.csv,NAIVE_BAYES,2,2,99.0683,1.0000,0.7143,0.8333,0.8287,0.9599,0.9524
avro_dataset.csv,NAIVE_BAYES,1,7,98.6025,1.0000,0.5909,0.7429,0.7362,0.9989,1.0000
avro_dataset.csv,NAIVE_BAYES,2,3,98.4472,1.0000,0.5238,0.6875,0.6803,0.9418,0.8095
avro_dataset.csv,NAIVE_BAYES,2,4,99.3789,1.0000,0.8095,0.8947,0.8916,1.0000,1.0000
avro_dataset.csv,NAIVE_BAYES,2,6,99.3789,1.0000,0.8182,0.9000,0.8968,0.9842,0.9091
avro_dataset.csv,NAIVE_BAYES,2,7,99.3789,1.0000,0.8182,0.9000,0.8968,0.9683,0.9091
avro_dataset.csv,NAIVE_BAYES,2,8,98.7558,1.0000,0.6190,0.7647,0.7587,0.8865,0.8571
avro_dataset.csv,NAIVE_BAYES,2,9,99.0669,1.0000,0.7143,0.8333,0.8287,0.9807,0.9524
avro_dataset.csv,NAIVE_BAYES,2,5,99.3789,1.0000,0.8095,0.8947,0.8916,0.9610,0.9048
avro_dataset.csv,NAIVE_BAYES,3,1,98.7578,1.0000,0.6190,0.7647,0.7587,0.9475,0.9048
avro_dataset.csv,NAIVE_BAYES,3,2,99.5342,1.0000,0.8571,0.9231,0.9207,0.9462,0.9048
avro_dataset.csv,NAIVE_BAYES,3,0,99.5342,1.0000,0.8571,0.9231,0.9207,0.9940,0.9524
avro_dataset.csv,NAIVE_BAYES,3,4,99.0683,1.0000,0.7143,0.8333,0.8287,0.9145,0.9048
avro_dataset.csv,NAIVE_BAYES,3,3,99.2236,1.0000,0.7619,0.8649,0.8609,1.0000,1.0000
avro_dataset.csv,NAIVE_BAYES,3,5,98.9130,1.0000,0.6667,0.8000,0.7946,0.9931,1.0000
avro_dataset.csv,NAIVE_BAYES,3,7,98.7578,1.0000,0.6364,0.7778,0.7717,0.9156,0.8636
avro_dataset.csv,NAIVE_BAYES,3,6,98.4472,1.0000,0.5455,0.7059,0.6986,0.9561,0.8636
avro_dataset.csv,NAIVE_BAYES,4,0,98.2919,0.8571,0.5714,0.6857,0.6773,0.9320,0.8571
avro_dataset.csv,NAIVE_BAYES,3,9,99.0669,1.0000,0.7143,0.8333,0.8287,0.9509,0.8571
avro_dataset.csv,NAIVE_BAYES,3,8,99.3779,1.0000,0.8095,0.8947,0.8916,0.9997,1.0000
avro_dataset.csv,NAIVE_BAYES,4,2,99.2236,1.0000,0.7619,0.8649,0.8609,0.9526,0.9524
avro_dataset.csv,NAIVE_BAYES,4,1,99.3789,1.0000,0.8095,0.8947,0.8916,1.0000,1.0000
avro_dataset.csv,NAIVE_BAYES,4,5,99.5342,1.0000,0.8571,0.9231,0.9207,0.9927,1.0000
avro_dataset.csv,NAIVE_BAYES,4,3,98.9130,1.0000,0.6667,0.8000,0.7946,0.9757,0.9524
avro_dataset.csv,NAIVE_BAYES,4,4,99.8447,1.0000,0.9524,0.9756,0.9748,1.0000,1.0000
avro_dataset.csv,NAIVE_BAYES,4,8,98.9114,1.0000,0.6667,0.8000,0.7946,0.9636,0.9524
avro_dataset.csv,NAIVE_BAYES,4,6,98.9130,1.0000,0.6818,0.8108,0.8054,0.9303,0.8636
avro_dataset.csv,NAIVE_BAYES,4,9,98.6003,1.0000,0.5714,0.7273,0.7206,0.9502,0.8095
avro_dataset.csv,NAIVE_BAYES,5,0,99.0683,1.0000,0.7143,0.8333,0.8287,0.9186,0.9048
avro_dataset.csv,NAIVE_BAYES,4,7,99.3789,1.0000,0.8182,0.9000,0.8968,0.9714,0.9545
avro_dataset.csv,NAIVE_BAYES,5,1,99.2236,0.9444,0.8095,0.8718,0.8678,0.9946,0.9048
avro_dataset.csv,NAIVE_BAYES,5,2,98.7578,1.0000,0.6190,0.7647,0.7587,0.9739,0.9048
avro_dataset.csv,NAIVE_BAYES,5,4,99.0683,1.0000,0.7143,0.8333,0.8287,0.9250,0.8571
avro_dataset.csv,NAIVE_BAYES,5,5,99.3789,1.0000,0.8095,0.8947,0.8916,0.9618,0.9524
avro_dataset.csv,NAIVE_BAYES,5,6,99.2236,1.0000,0.7727,0.8718,0.8679,0.9986,1.0000
avro_dataset.csv,NAIVE_BAYES,5,7,99.0683,1.0000,0.7273,0.8421,0.8374,0.9696,0.9545
avro_dataset.csv,NAIVE_BAYES,5,3,99.3789,1.0000,0.8095,0.8947,0.8916,0.9695,0.9524
avro_dataset.csv,NAIVE_BAYES,5,8,99.0669,1.0000,0.7143,0.8333,0.8287,0.9642,0.9048
avro_dataset.csv,NAIVE_BAYES,6,0,98.7578,1.0000,0.6190,0.7647,0.7587,0.9280,0.8571
avro_dataset.csv,NAIVE_BAYES,6,1,98.7578,1.0000,0.6190,0.7647,0.7587,0.9360,0.9048
avro_dataset.csv,NAIVE_BAYES,5,9,98.4448,1.0000,0.5238,0.6875,0.6803,0.9646,0.7619
avro_dataset.csv,NAIVE_BAYES,6,2,99.2236,1.0000,0.7619,0.8649,0.8609,0.9999,1.0000
avro_dataset.csv,NAIVE_BAYES,6,3,98.9130,1.0000,0.6667,0.8000,0.7946,0.8800,0.7619
avro_dataset.csv,NAIVE_BAYES,6,4,99.5342,1.0000,0.8571,0.9231,0.9207,0.9783,0.9524
avro_dataset.csv,NAIVE_BAYES,6,5,99.6894,1.0000,0.9048,0.9500,0.9484,1.0000,1.0000
avro_dataset.csv,NAIVE_BAYES,6,9,98.6003,1.0000,0.5714,0.7273,0.7206,0.9562,0.8571
avro_dataset.csv,NAIVE_BAYES,7,0,98.6025,1.0000,0.5714,0.7273,0.7206,0.9194,0.8571
avro_dataset.csv,NAIVE_BAYES,6,6,99.2236,1.0000,0.7727,0.8718,0.8679,0.9549,0.9545
avro_dataset.csv,NAIVE_BAYES,6,7,98.4472,0.9286,0.5909,0.7222,0.7146,0.9262,0.9091
avro_dataset.csv,NAIVE_BAYES,7,1,99.3789,1.0000,0.8095,0.8947,0.8916,0.9999,1.0000
avro_dataset.csv,NAIVE_BAYES,7,2,98.9130,1.0000,0.6667,0.8000,0.7946,0.9512,0.8571
avro_dataset.csv,NAIVE_BAYES,6,8,99.6890,1.0000,0.9048,0.9500,0.9484,0.9804,1.0000
avro_dataset.csv,NAIVE_BAYES,7,4,99.3789,1.0000,0.8095,0.8947,0.8916,1.0000,1.0000
avro_dataset.csv,NAIVE_BAYES,7,3,99.0683,1.0000,0.7143,0.8333,0.8287,0.9330,0.9048
avro_dataset.csv,NAIVE_BAYES,7,5,98.9130,1.0000,0.6667,0.8000,0.7946,0.9648,0.8571
avro_dataset.csv,NAIVE_BAYES,7,6,99.3789,1.0000,0.8182,0.9000,0.8968,0.9456,0.9091
avro_dataset.csv,NAIVE_BAYES,7,7,98.6025,1.0000,0.5909,0.7429,0.7362,0.9261,0.9091
avro_dataset.csv,NAIVE_BAYES,8,0,99.2236,1.0000,0.7619,0.8649,0.8609,0.9384,0.8571
avro_dataset.csv,NAIVE_BAYES,7,8,99.5334,1.0000,0.8571,0.9231,0.9207,1.0000,1.0000
avro_dataset.csv,NAIVE_BAYES,7,9,99.3779,1.0000,0.8095,0.8947,0.8916,0.9661,0.9524
avro_dataset.csv,NAIVE_BAYES,8,3,99.5342,1.0000,0.8571,0.9231,0.9207,0.9525,0.9524
avro_dataset.csv,NAIVE_BAYES,8,1,98.2919,1.0000,0.4762,0.6452,0.6375,0.9172,0.8571
avro_dataset.csv,NAIVE_BAYES,8,2,98.7578,1.0000,0.6190,0.7647,0.7587,0.9157,0.8571
avro_dataset.csv,NAIVE_BAYES,8,4,99.3789,1.0000,0.8095,0.8947,0.8916,0.9024,0.8571
avro_dataset.csv,NAIVE_BAYES,8,6,99.5342,1.0000,0.8636,0.9268,0.9244,1.0000,1.0000
avro_dataset.csv,NAIVE_BAYES,8,7,98.7578,1.0000,0.6364,0.7778,0.7717,0.9366,0.7727
avro_dataset.csv,NAIVE_BAYES,8,5,99.5342,1.0000,0.8571,0.9231,0.9207,0.9974,1.0000
avro_dataset.csv,NAIVE_BAYES,8,8,99.0669,1.0000,0.7143,0.8333,0.8287,0.9995,1.0000
avro_dataset.csv,NAIVE_BAYES,8,9,98.9114,1.0000,0.6667,0.8000,0.7946,0.9712,0.9524
avro_dataset.csv,NAIVE_BAYES,9,1,98.9130,1.0000,0.6667,0.8000,0.7946,0.9937,1.0000
avro_dataset.csv,NAIVE_BAYES,9,5,98.7578,0.9333,0.6667,0.7778,0.7716,0.8965,0.8095
avro_dataset.csv,NAIVE_BAYES,9,0,99.5342,1.0000,0.8571,0.9231,0.9207,0.9881,0.9524
avro_dataset.csv,NAIVE_BAYES,9,2,98.7578,1.0000,0.6190,0.7647,0.7587,0.9066,0.8571
avro_dataset.csv,NAIVE_BAYES,9,3,99.3789,1.0000,0.8095,0.8947,0.8916,0.9711,0.9524
avro_dataset.csv,NAIVE_BAYES,9,4,99.3789,1.0000,0.8095,0.8947,0.8916,0.9680,0.9524
avro_dataset.csv,NAIVE_BAYES,9,9,99.0669,1.0000,0.7143,0.8333,0.8287,0.9490,0.9048
avro_dataset.csv,NAIVE_BAYES,9,7,98.9130,1.0000,0.6818,0.8108,0.8054,0.9230,0.9091
avro_dataset.csv,NAIVE_BAYES,9,8,98.6003,1.0000,0.5714,0.7273,0.7206,0.9468,0.7619
avro_dataset.csv,NAIVE_BAYES,9,6,99.0683,1.0000,0.7273,0.8421,0.8374,0.9710,0.9545
avro_dataset.csv,K_NEAREST_NEIGHBORS,0,6,99.8447,1.0000,0.9545,0.9767,0.9759,0.9583,0.9545
avro_dataset.csv,K_NEAREST_NEIGHBORS,0,7,99.5342,1.0000,0.8636,0.9268,0.9244,0.9808,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,0,1,99.8447,1.0000,0.9524,0.9756,0.9748,0.9622,0.9524
avro_dataset.csv,K_NEAREST_NEIGHBORS,0,0,99.2236,0.9444,0.8095,0.8718,0.8678,0.9361,0.9048
avro_dataset.csv,K_NEAREST_NEIGHBORS,0,2,99.6894,1.0000,0.9048,0.9500,0.9484,0.9955,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,0,3,99.8447,1.0000,0.9524,0.9756,0.9748,0.9973,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,0,8,99.0669,0.9412,0.7619,0.8421,0.8374,0.9356,0.8571
avro_dataset.csv,K_NEAREST_NEIGHBORS,0,4,99.5342,1.0000,0.8571,0.9231,0.9207,0.9809,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,0,9,99.5334,0.9091,0.9524,0.9302,0.9278,0.9765,0.9524
avro_dataset.csv,K_NEAREST_NEIGHBORS,1,1,99.6894,1.0000,0.9048,0.9500,0.9484,0.9809,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,1,0,99.8447,1.0000,0.9524,0.9756,0.9748,0.9831,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,0,5,99.8447,1.0000,0.9524,0.9756,0.9748,0.9562,0.9524
avro_dataset.csv,K_NEAREST_NEIGHBORS,1,2,99.6894,1.0000,0.9048,0.9500,0.9484,0.9745,0.9524
avro_dataset.csv,K_NEAREST_NEIGHBORS,1,4,99.5342,1.0000,0.8571,0.9231,0.9207,0.9712,0.9524
avro_dataset.csv,K_NEAREST_NEIGHBORS,1,3,99.0683,1.0000,0.7143,0.8333,0.8287,0.9347,0.9048
avro_dataset.csv,K_NEAREST_NEIGHBORS,1,5,99.6894,1.0000,0.9048,0.9500,0.9484,0.9818,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,2,1,99.5342,1.0000,0.8571,0.9231,0.9207,0.9421,0.9048
avro_dataset.csv,K_NEAREST_NEIGHBORS,1,9,99.8445,1.0000,0.9524,0.9756,0.9748,0.9541,0.9524
avro_dataset.csv,K_NEAREST_NEIGHBORS,1,6,99.5342,0.9524,0.9091,0.9302,0.9278,0.9768,0.9545
avro_dataset.csv,K_NEAREST_NEIGHBORS,2,0,99.2236,0.9444,0.8095,0.8718,0.8678,0.9826,0.9524
avro_dataset.csv,K_NEAREST_NEIGHBORS,1,7,99.8447,1.0000,0.9545,0.9767,0.9759,0.9994,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,2,3,99.6894,1.0000,0.9048,0.9500,0.9484,0.9809,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,1,8,99.5334,0.9500,0.9048,0.9268,0.9244,0.9719,0.9524
avro_dataset.csv,K_NEAREST_NEIGHBORS,2,2,99.8447,1.0000,0.9524,0.9756,0.9748,0.9875,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,2,4,99.8447,0.9545,1.0000,0.9767,0.9759,0.9995,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,2,6,99.2236,1.0000,0.7727,0.8718,0.8679,0.8512,0.8182
avro_dataset.csv,K_NEAREST_NEIGHBORS,2,5,99.8447,1.0000,0.9524,0.9756,0.9748,0.9567,0.9524
avro_dataset.csv,K_NEAREST_NEIGHBORS,2,7,98.4472,1.0000,0.5455,0.7059,0.6986,0.9301,0.8182
avro_dataset.csv,K_NEAREST_NEIGHBORS,3,1,99.5342,1.0000,0.8571,0.9231,0.9207,0.9831,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,3,0,99.3789,1.0000,0.8095,0.8947,0.8916,0.9612,0.9048
avro_dataset.csv,K_NEAREST_NEIGHBORS,2,8,100.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,2,9,99.5334,1.0000,0.8571,0.9231,0.9207,0.9798,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,3,2,99.3789,1.0000,0.8095,0.8947,0.8916,0.9228,0.8095
avro_dataset.csv,K_NEAREST_NEIGHBORS,3,4,99.3789,1.0000,0.8095,0.8947,0.8916,0.9174,0.9524
avro_dataset.csv,K_NEAREST_NEIGHBORS,3,3,99.3789,1.0000,0.8095,0.8947,0.8916,0.9114,0.9048
avro_dataset.csv,K_NEAREST_NEIGHBORS,3,5,100.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,3,6,99.5342,1.0000,0.8636,0.9268,0.9244,0.9767,0.9545
avro_dataset.csv,K_NEAREST_NEIGHBORS,3,7,99.3789,1.0000,0.8182,0.9000,0.8968,0.9307,0.8636
avro_dataset.csv,K_NEAREST_NEIGHBORS,3,9,99.6890,1.0000,0.9048,0.9500,0.9484,0.9889,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,3,8,99.8445,1.0000,0.9524,0.9756,0.9748,0.9972,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,4,1,99.3789,1.0000,0.8095,0.8947,0.8916,0.9588,0.9048
avro_dataset.csv,K_NEAREST_NEIGHBORS,4,0,99.8447,1.0000,0.9524,0.9756,0.9748,0.9979,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,4,2,100.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,4,3,99.2236,1.0000,0.7619,0.8649,0.8609,0.8922,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,4,4,99.5342,0.9500,0.9048,0.9268,0.9244,0.9548,0.9048
avro_dataset.csv,K_NEAREST_NEIGHBORS,4,5,99.6894,1.0000,0.9048,0.9500,0.9484,0.9677,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,4,6,99.2236,1.0000,0.7727,0.8718,0.8679,0.9792,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,4,8,99.8445,1.0000,0.9524,0.9756,0.9748,0.9891,0.9524
avro_dataset.csv,K_NEAREST_NEIGHBORS,4,7,99.6894,1.0000,0.9091,0.9524,0.9508,0.9793,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,4,9,99.5334,1.0000,0.8571,0.9231,0.9207,0.9463,0.9524
avro_dataset.csv,K_NEAREST_NEIGHBORS,5,1,99.0683,1.0000,0.7143,0.8333,0.8287,0.8571,0.7619
avro_dataset.csv,K_NEAREST_NEIGHBORS,5,2,99.5342,1.0000,0.8571,0.9231,0.9207,0.9658,0.9048
avro_dataset.csv,K_NEAREST_NEIGHBORS,5,4,99.2236,1.0000,0.7619,0.8649,0.8609,0.9433,0.9524
avro_dataset.csv,K_NEAREST_NEIGHBORS,5,3,99.8447,1.0000,0.9524,0.9756,0.9748,0.9916,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,5,0,99.8447,1.0000,0.9524,0.9756,0.9748,0.9962,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,5,6,99.8447,1.0000,0.9545,0.9767,0.9759,0.9857,0.9545
avro_dataset.csv,K_NEAREST_NEIGHBORS,5,5,99.2236,1.0000,0.7619,0.8649,0.8609,0.8855,0.9048
avro_dataset.csv,K_NEAREST_NEIGHBORS,5,7,99.5342,1.0000,0.8636,0.9268,0.9244,0.9155,0.9091
avro_dataset.csv,K_NEAREST_NEIGHBORS,5,8,100.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,5,9,99.3779,0.9474,0.8571,0.9000,0.8968,0.9505,0.9048
avro_dataset.csv,K_NEAREST_NEIGHBORS,6,1,99.2236,1.0000,0.7619,0.8649,0.8609,0.9647,0.8571
avro_dataset.csv,K_NEAREST_NEIGHBORS,6,0,99.5342,1.0000,0.8571,0.9231,0.9207,0.9633,0.9524
avro_dataset.csv,K_NEAREST_NEIGHBORS,6,2,99.8447,1.0000,0.9524,0.9756,0.9748,0.9671,0.9524
avro_dataset.csv,K_NEAREST_NEIGHBORS,6,3,99.6894,0.9524,0.9524,0.9524,0.9508,0.9927,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,6,5,99.8447,1.0000,0.9524,0.9756,0.9748,0.9948,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,6,4,98.7578,1.0000,0.6190,0.7647,0.7587,0.9718,0.9048
avro_dataset.csv,K_NEAREST_NEIGHBORS,6,6,99.6894,1.0000,0.9091,0.9524,0.9508,0.9919,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,6,7,99.6894,1.0000,0.9091,0.9524,0.9508,0.9924,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,6,9,99.6890,1.0000,0.9048,0.9500,0.9484,0.9618,0.9524
avro_dataset.csv,K_NEAREST_NEIGHBORS,6,8,99.8445,1.0000,0.9524,0.9756,0.9748,0.9998,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,7,3,99.2236,1.0000,0.7619,0.8649,0.8609,0.9236,0.8571
avro_dataset.csv,K_NEAREST_NEIGHBORS,7,0,99.8447,1.0000,0.9524,0.9756,0.9748,0.9971,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,7,1,99.8447,1.0000,0.9524,0.9756,0.9748,0.9994,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,7,2,98.7578,1.0000,0.6190,0.7647,0.7587,0.8517,0.8095
avro_dataset.csv,K_NEAREST_NEIGHBORS,7,4,99.3789,1.0000,0.8095,0.8947,0.8916,0.9779,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,7,8,99.3779,1.0000,0.8095,0.8947,0.8916,0.9727,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,7,5,99.8447,1.0000,0.9524,0.9756,0.9748,0.9915,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,8,0,99.3789,1.0000,0.8095,0.8947,0.8916,0.9344,0.9048
avro_dataset.csv,K_NEAREST_NEIGHBORS,7,9,99.8445,1.0000,0.9524,0.9756,0.9748,0.9985,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,7,7,99.6894,1.0000,0.9091,0.9524,0.9508,0.9966,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,7,6,100.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,8,4,98.9130,0.8500,0.8095,0.8293,0.8237,0.9179,0.9048
avro_dataset.csv,K_NEAREST_NEIGHBORS,8,2,99.8447,1.0000,0.9524,0.9756,0.9748,0.9779,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,8,3,99.6894,1.0000,0.9048,0.9500,0.9484,0.9828,0.9524
avro_dataset.csv,K_NEAREST_NEIGHBORS,8,1,99.3789,1.0000,0.8095,0.8947,0.8916,0.9548,0.9524
avro_dataset.csv,K_NEAREST_NEIGHBORS,8,6,99.5342,1.0000,0.8636,0.9268,0.9244,0.9813,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,8,5,100.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,8,8,99.6890,1.0000,0.9048,0.9500,0.9484,0.9900,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,9,0,99.5342,1.0000,0.8571,0.9231,0.9207,0.9481,0.9524
avro_dataset.csv,K_NEAREST_NEIGHBORS,8,7,99.8447,0.9565,1.0000,0.9778,0.9770,0.9997,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,9,1,99.3789,1.0000,0.8095,0.8947,0.8916,0.9359,0.9048
avro_dataset.csv,K_NEAREST_NEIGHBORS,9,2,99.8447,0.9545,1.0000,0.9767,0.9759,0.9995,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,8,9,99.5334,1.0000,0.8571,0.9231,0.9207,0.9969,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,9,5,99.3789,1.0000,0.8095,0.8947,0.8916,0.9895,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,9,3,99.3789,1.0000,0.8095,0.8947,0.8916,0.9716,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,9,4,100.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,9,6,99.6894,1.0000,0.9091,0.9524,0.9508,0.9894,1.0000
avro_dataset.csv,K_NEAREST_NEIGHBORS,9,7,99.3789,1.0000,0.8182,0.9000,0.8968,0.9845,0.9545
avro_dataset.csv,K_NEAREST_NEIGHBORS,9,8,99.6890,1.0000,0.9048,0.9500,0.9484,0.9650,0.9524
avro_dataset.csv,K_NEAREST_NEIGHBORS,9,9,100.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
